Breakdown by Connector,Vsessionid,Party Consolidated Connector,Race Connector,Race x Education Connector,Voters Gender,Econ Score,Q Age,Social Score,Weights Lv
Strong Progressives,1750012112_684f10d0576a41.07527328,Independent,Black,Non-White Non-College,F,14.673913043,66,21.808510638,0.333697430
Strong Progressives,1750011857_684f0fd11abcd8.27857642,Democrat,White College,White College,F,3.804347826,61,0,1.811592648
Strong Progressives,1750011222_684f0d564ca2f3.16356742,Democrat,Black,Non-White Non-College,M,22.826086957,49,5.319148936,2.110942851
Strong Progressives,1750010416_684f0a30b0af91.03070500,Democrat,White Non-College,White Non-College,F,0,66,11.170212766,0.486253587
Strong Progressives,1750009744_684f0790c90509.90576188,Democrat,White College,White College,F,14.673913043,76,23.404255319,0.721438553
Strong Progressives,1750009515_684f06abab92a2.41990075,Democrat,White Non-College,White Non-College,M,11.413043478,54,19.148936170,1.453361397
Strong Progressives,1750009398_684f063665a053.46770048,Democrat,White College,White College,M,13.586956522,67,12.234042553,0.988106828
Strong Progressives,1750008854_684f04161a29f9.74849104,Democrat,White College,White College,F,13.043478261,41,14.893617021,1.455410592
Strong Progressives,1750008808_684f03e89d4ee9.25881692,Republican,White College,White College,M,0,51,0,0.755321394
Strong Progressives,1750008505_684f02b9aff4d5.26882880,Democrat,Hispanic,Non-White Non-College,F,19.565217391,50,20.744680851,1.229700960
Strong Progressives,1750008346_684f021abc1073.35655823,Democrat,White Non-College,White Non-College,F,23.369565217,39,0,0.854263102
Strong Progressives,1750008257_684f01c1820ed9.88948656,Democrat,White College,White College,M,1.630434783,44,23.404255319,3.076912448
Strong Progressives,1750007420_684efe7cd8b594.01610147,Democrat,White Non-College,White Non-College,F,15.217391304,46,20.212765957,1.011155442
Strong Progressives,1750006501_684efae5911c57.33773170,Democrat,White College,White College,F,20.652173913,64,0,3.411866973
Strong Progressives,1750006398_684efa7ecb3476.56736799,Democrat,White College,White College,F,0,45,0,1.980071603
Strong Progressives,1750005408_684ef6a0ba8b99.78042259,Democrat,White College,White College,M,0,67,14.893617021,0.487052612
Strong Progressives,1750004205_684ef1ed6da6a6.55729415,Democrat,Hispanic,Non-White College,F,0,56,19.148936170,1.182778197
Strong Progressives,1750003564_684eef6cb6b7e0.49256494,Democrat,Hispanic,Non-White Non-College,M,0,53,15.957446809,0.607629702
Strong Progressives,1750003451_684eeefb91d554.38730246,Democrat,Hispanic,Non-White Non-College,F,0,47,17.553191489,0.956595718
Strong Progressives,1750002833_684eec9110f6a7.75893434,Democrat,Hispanic,Non-White Non-College,F,0,22,0,1.447251079
Strong Progressives,1750002569_684eeb89a7fb24.24387420,Independent,White Non-College,White Non-College,F,13.043478261,58,22.872340426,0.754284108
Strong Progressives,1750002081_684ee9a1742014.50314040,Democrat,Black,Non-White College,F,14.130434783,74,13.829787234,0.582149468
Strong Progressives,1750001547_684ee78b9f68c9.43867960,Democrat,White Non-College,White Non-College,M,2.717391304,69,14.893617021,0.249087596
Strong Progressives,1750001235_684ee6538c7644.54032681,Democrat,Hispanic,Non-White College,F,0,68,7.978723404,0.452268369
Strong Progressives,1750000746_684ee46a320433.97977024,Democrat,White Non-College,White Non-College,F,3.804347826,67,10.638297872,0.502392358
Strong Progressives,1750000149_684ee215bdec91.02243961,Independent,Hispanic,Non-White Non-College,F,20.108695652,63,15.957446809,0.368455233
Strong Progressives,1749998609_684edc11c5d137.30203991,Democrat,White Non-College,White Non-College,M,3.804347826,65,9.042553191,0.528254378
Strong Progressives,1749997816_684ed8f85adb00.74369409,Democrat,Hispanic,Non-White College,M,5.978260870,36,22.872340426,0.537616641
Strong Progressives,1749996594_684ed4321699c6.10631153,Democrat,White College,White College,F,0,64,0,1.314841540
Strong Progressives,1749995032_684ece18bbc677.81164587,Democrat,White College,White College,F,4.891304348,76,21.808510638,0.669705335
Strong Progressives,1749994848_684ecd60b811c4.03074149,Democrat,White College,White College,F,3.260869565,59,18.085106383,3.093380166
Strong Progressives,1749992215_684ec317235961.52125407,Democrat,White College,White College,F,3.260869565,78,13.297872340,0.653084575
Strong Progressives,1749987723_684eb18b5805c9.57162187,Republican,Native and Other,Non-White College,M,5.978260870,40,20.212765957,0.877967495
Strong Progressives,1749971458_684e7202c033b4.70031184,Democrat,White Non-College,White Non-College,F,25,32,13.297872340,0.419613393
Strong Progressives,1749968266_684e658a17fb80.05787993,Democrat,White College,White College,F,0,68,13.297872340,0.653084575
Strong Progressives,1749967900_684e641ce69cd8.47292290,Democrat,White Non-College,White Non-College,F,19.565217391,30,20.744680851,0.574787058
Strong Progressives,1749961575_684e4b67e9c879.62566637,Democrat,White Non-College,White Non-College,F,8.695652174,53,11.170212766,0.944240783
Strong Progressives,1749954031_684e2def8bb6b2.53252259,Democrat,White Non-College,White Non-College,M,14.673913043,66,10.638297872,1.437325360
Strong Progressives,1749953844_684e2d34c5c4a6.15384347,Democrat,White Non-College,White Non-College,M,2.717391304,68,11.170212766,0.490320582
Strong Progressives,1749953169_684e2a912a7587.88131729,Democrat,White College,White College,M,0,89,11.170212766,0.329425964
Strong Progressives,1749949901_684e1dcda1f365.05531029,Democrat,White College,White College,F,13.043478261,61,0,2.301051991
Strong Progressives,1749947040_684e12a0718fd1.69361028,Republican,White College,White College,M,6.521739130,40,0,0.428978499
Strong Progressives,1749936006_684de786172273.02527664,Democrat,White Non-College,White Non-College,F,9.239130435,69,15.957446809,1.031898325
Strong Progressives,1749932834_684ddb22c41604.31133375,Democrat,White College,White College,F,0,30,3.723404255,1.178341787
Strong Progressives,1749932230_684dd8c6390417.62666716,Democrat,White College,White College,M,0,63,14.893617021,1.133150105
Strong Progressives,1749930983_684dd3e78c2109.15917585,Democrat,White Non-College,White Non-College,M,0,28,3.723404255,0.668504749
Strong Progressives,1749927668_684dc6f4c1e651.01424853,Democrat,White College,White College,F,17.391304348,35,8.510638298,1.465978485
Strong Progressives,1749924830_684dbbded478f5.57304050,Democrat,White College,White College,F,19.021739130,87,11.702127660,0.538779003
Strong Progressives,1749918998_684da516820f22.75252012,Republican,White College,White College,M,0,45,0,0.585677716
Strong Progressives,1749917315_684d9e83935793.47625566,Democrat,White College,White College,M,11.956521739,31,3.723404255,0.602432368
Strong Progressives,1749916537_684d9b7929ec99.42700926,Democrat,Black,Non-White Non-College,F,22.282608696,24,4.255319149,0.397176361
Strong Progressives,1749912821_684d8cf55feab0.72191073,Democrat,White Non-College,White Non-College,F,10.869565217,59,7.978723404,0.802282930
Strong Progressives,1749908011_684d7a2bd1c144.98530116,Democrat,White College,White College,F,3.260869565,73,24.468085106,0.408803577
Strong Progressives,1749907369_684d77a920e004.76122608,Democrat,White College,White College,F,0,44,7.978723404,1.671022763
Strong Progressives,1749906715_684d751b6ac951.36511168,Democrat,White College,White College,F,4.891304348,34,0,1.523027702
Strong Progressives,1749904841_684d6dc9699223.62338549,Democrat,Black,Non-White Non-College,F,6.521739130,29,0,0.605346797
Strong Progressives,1749894685_684d461d4c3431.15160077,Democrat,White Non-College,White Non-College,F,5.434782609,81,7.446808511,0.872807864
Strong Progressives,1749882221_684d156d5a68f3.60002249,Democrat,Hispanic,Non-White College,F,18.478260870,73,14.893617021,0.487935134
Strong Progressives,1749881561_684d12d9867ef0.47348207,Democrat,Hispanic,Non-White Non-College,F,4.891304348,31,7.446808511,1.518337504
Strong Progressives,1749881120_684d1120663a46.67469613,Democrat,Black,Non-White Non-College,F,0,20,0,0.745976119
Strong Progressives,1749880107_684d0d2b54c951.67277096,Democrat,Black,Non-White College,F,7.608695652,23,12.765957447,1.032773789
Strong Progressives,1749879005_684d08ddb99822.16389993,Democrat,White Non-College,White Non-College,F,18.478260870,26,15.425531915,1.141239699
Strong Progressives,1749877593_684d0359561776.85818513,Democrat,Black,Non-White College,F,0,28,14.893617021,0.623967920
Strong Progressives,1749877194_684d01cad734d2.45251515,Democrat,Hispanic,Non-White Non-College,M,15.760869565,25,9.042553191,0.448994404
Strong Progressives,1749877141_684d0195970a26.17240153,Democrat,Black,Non-White Non-College,F,23.369565217,21,19.680851064,0.745976119
Strong Progressives,1749876728_684cfff8939db8.79595242,Democrat,Black,Non-White Non-College,F,0,34,0,0.456964302
Strong Progressives,1749876179_684cfdd38ec870.09696541,Democrat,White Non-College,White Non-College,F,3.260869565,26,6.382978723,0.614560417
Strong Progressives,1749874760_684cf848b162a4.58766513,Democrat,Native and Other,Non-White Non-College,F,24.456521739,27,22.340425532,0.710216841
Strong Progressives,1749873936_684cf510b77323.98588948,Democrat,White Non-College,White Non-College,M,0,31,21.808510638,1.167095785
Strong Progressives,1749873483_684cf34b5340c6.76987764,Democrat,Hispanic,Non-White Non-College,F,15.217391304,20,16.489361702,0.846128447
Strong Progressives,1749872891_684cf0fba32e98.47859968,Democrat,Black,Non-White Non-College,F,13.043478261,29,0,2.030849754
Strong Progressives,1749872818_684cf0b27e4966.19724902,Republican,White Non-College,White Non-College,F,13.586956522,32,3.191489362,1.033503798
Strong Progressives,1749872590_684cefce0440d6.09347076,Democrat,White College,White College,F,0,73,0,0.653084575
Strong Progressives,1749868811_684ce10bede806.75920539,Democrat,White Non-College,White Non-College,M,22.826086957,20,18.617021277,0.754234396
Strong Progressives,1749868605_684ce03d0a7e08.19645730,Republican,Hispanic,Non-White Non-College,F,23.913043478,20,17.021276596,1.007682662
Strong Progressives,1749867955_684cddb33af6a3.54023010,Democrat,White College,White College,M,1.630434783,28,19.148936170,1.193915831
Strong Progressives,1749866198_684cd6d6f373c5.10714089,Republican,White College,White College,M,18.478260870,25,2.659574468,0.526411073
Strong Progressives,1749866046_684cd63e316b83.15966568,Democrat,White Non-College,White Non-College,M,3.804347826,30,5.319148936,0.429360814
Strong Progressives,1749864793_684cd159ddaa14.61134491,Democrat,White Non-College,White Non-College,F,12.5,25,0,0.501364228
Strong Progressives,1749844219_684c80fb6b70a6.25288615,Democrat,White Non-College,White Non-College,M,4.347826087,59,14.893617021,0.645357739
Strong Progressives,1749844071_684c8067b6fd76.03571502,Democrat,White Non-College,White Non-College,F,12.5,22,13.829787234,1.299649985
Strong Progressives,1749843025_684c7c51730132.71084676,Democrat,White College,White College,F,0,27,11.170212766,0.902562945
Strong Progressives,1749842954_684c7c0ae1b7c9.13640663,Democrat,Black,Non-White College,F,3.804347826,25,0,1.230317694
Strong Progressives,1749842929_684c7bf1f35603.03554867,Democrat,Black,Non-White Non-College,F,20.652173913,49,14.361702128,0.673500515
Strong Progressives,1749842826_684c7b8a493cc7.01012339,Democrat,White Non-College,White Non-College,F,14.673913043,28,23.404255319,0.387393973
Strong Progressives,1749842805_684c7b75d9af35.38987957,Democrat,White Non-College,White Non-College,F,9.782608696,27,14.361702128,0.432464579
Strong Progressives,1749842609_684c7ab12c7856.95058006,Democrat,White Non-College,White Non-College,F,14.673913043,34,22.340425532,0.550512142
Strong Progressives,1749842439_684c7a07189563.36776368,Democrat,Black,Non-White Non-College,M,9.239130435,32,4.255319149,0.512306706
Strong Progressives,1749842216_684c7928c06051.93337755,Democrat,Black,Non-White Non-College,M,0,22,0,1.462301132
Strong Progressives,1749841291_684c758b69e4a3.99338356,Democrat,White College,White College,M,11.956521739,26,5.851063830,1.404929826
Strong Progressives,1749840680_684c7328c8b3e3.68042344,Independent,White College,White College,M,19.021739130,33,11.702127660,0.603576881
Strong Progressives,1749839380_684c6e14431447.83424904,Democrat,White Non-College,White Non-College,F,0,29,0,0.540311141
Strong Progressives,1749839229_684c6d7d48b638.82449751,Democrat,White Non-College,White Non-College,F,8.152173913,20,5.851063830,0.705981290
Strong Progressives,1749833122_684c55a2148574.49569701,Democrat,White Non-College,White Non-College,F,11.413043478,82,18.617021277,1.240316990
Strong Progressives,1749832387_684c52c34e10b5.57904483,Democrat,White College,White College,F,21.739130435,65,19.680851064,1.114783983
Strong Progressives,1749825624_684c3858ebd665.44599130,Democrat,White Non-College,White Non-College,M,0,45,0,0.400999680
Strong Progressives,1749823515_684c301b71a1e9.09122387,Democrat,White College,White College,F,14.673913043,63,22.340425532,0.728886344
Strong Progressives,1749770069_684b5f55b51030.90643066,Democrat,White College,White College,M,0,80,23.404255319,0.995381719
Strong Conservatives,1750151099_68512fbbf1f871.91245069,Republican,White Non-College,White Non-College,M,76.086956522,46,75,1.553990367
Strong Conservatives,1750139605_685102d547dd85.54146726,Democrat,White College,White College,M,91.847826087,38,88.297872340,1.902066651
Strong Conservatives,1750127797_6850d4b5d1d868.38508274,Republican,White Non-College,White Non-College,M,79.891304348,72,78.723404255,0.624775875
Strong Conservatives,1750126886_6850d126ee85d1.60489117,Republican,White Non-College,White Non-College,M,88.586956522,67,85.638297872,2.037737355
Strong Conservatives,1750126735_6850d08fec97e1.44354553,Republican,White Non-College,White Non-College,M,94.565217391,73,85.106382979,0.583090259
Strong Conservatives,1750118544_6850b0905ca969.31138668,Republican,White Non-College,White Non-College,M,80.434782609,78,82.978723404,0.583090259
Strong Conservatives,1750118173_6850af1d471c37.37572288,Republican,White Non-College,White Non-College,M,82.065217391,65,94.148936170,0.761490376
Strong Conservatives,1750108337_685088b1a98659.82202661,Republican,White Non-College,White Non-College,M,89.673913043,53,87.765957447,1.109260402
Strong Conservatives,1750106440_68508148abaec9.55500306,Independent,White College,White College,F,91.847826087,49,77.127659574,2.226531853
Strong Conservatives,1750103799_685076f79b0e52.43426136,Republican,White College,White College,M,76.630434783,59,83.510638298,1.434911471
Strong Conservatives,1750099634_685066b21ab422.26044243,Republican,White College,White College,M,100,45,100,1.364841638
Strong Conservatives,1750089644_68503fac144a63.17681764,Republican,White Non-College,White Non-College,M,79.891304348,55,92.553191489,0.865446884
Strong Conservatives,1750086405_6850330535dcd8.77468573,Independent,White College,White College,M,85.869565217,25,85.638297872,0.836165808
Strong Conservatives,1750036675_684f70c3e4f238.28121241,Republican,Hispanic,Non-White Non-College,M,91.304347826,61,88.829787234,0.782999616
Strong Conservatives,1750027993_684f4ed92e14a6.93665762,Republican,White Non-College,White Non-College,M,86.956521739,84,75.531914894,2.446447916
Strong Conservatives,1750025346_684f44821887a4.77098937,Republican,Hispanic,Non-White Non-College,M,79.347826087,71,92.021276596,0.648040674
Strong Conservatives,1750023865_684f3eb9c5ff39.81165763,Republican,White Non-College,White Non-College,M,86.413043478,51,100,0.884127929
Strong Conservatives,1750023728_684f3e309b0063.67384839,Republican,White Non-College,White Non-College,F,76.086956522,69,81.914893617,0.968544441
Strong Conservatives,1750021744_684f3670516fd6.50474302,Republican,Hispanic,Non-White Non-College,M,100,53,85.106382979,1.167353486
Strong Conservatives,1750021163_684f342b153735.95568756,Republican,White Non-College,White Non-College,F,100,64,100,1.149858887
Strong Conservatives,1750019995_684f2f9ba4f4e0.65518904,Republican,White Non-College,White Non-College,F,79.891304348,54,80.851063830,1.543118655
Strong Conservatives,1750019200_684f2c80da45f7.54346391,Republican,White Non-College,White Non-College,F,76.630434783,70,85.106382979,0.861337798
Strong Conservatives,1750018309_684f290563a229.69395841,Republican,White Non-College,White Non-College,M,91.304347826,72,95.212765957,0.639222946
Strong Conservatives,1750015887_684f1f8f5a8261.83872615,Republican,White Non-College,White Non-College,M,91.304347826,74,90.425531915,0.317119755
Strong Conservatives,1750015689_684f1ec9621d58.08268581,Republican,White Non-College,White Non-College,M,86.956521739,71,86.702127660,0.982894637
Strong Conservatives,1750014338_684f19829cacf6.30008554,Republican,White Non-College,White Non-College,M,100,83,82.446808511,0.772164285
Strong Conservatives,1750013414_684f15e6634e76.14509121,Republican,White Non-College,White Non-College,F,76.086956522,66,97.872340426,0.940407299
Strong Conservatives,1750012337_684f11b1a1eaf1.40833362,Republican,White Non-College,White Non-College,F,100,54,100,0.821315660
Strong Conservatives,1750011977_684f1049a6bb47.01952991,Independent,White Non-College,White Non-College,F,75,67,96.276595745,1.385628013
Strong Conservatives,1750010554_684f0abacba043.32963799,Republican,White College,White College,M,80.434782609,63,89.893617021,0.838925827
Strong Conservatives,1750010540_684f0aac9ac7c8.16627183,Democrat,White Non-College,White Non-College,F,79.347826087,84,86.702127660,1.169779752
Strong Conservatives,1750009468_684f067c10a978.02451067,Republican,White College,White College,F,84.239130435,70,81.382978723,0.478082156
Strong Conservatives,1750007773_684effdd726fe1.01382668,Republican,White College,White College,M,97.282608696,66,82.978723404,0.860488740
Strong Conservatives,1750007361_684efe41793903.61949848,Republican,Hispanic,Non-White College,M,88.043478261,61,78.723404255,1.757558331
Strong Conservatives,1750007260_684efddc45fc25.30627593,Republican,White Non-College,White Non-College,F,84.239130435,72,96.808510638,0.767351631
Strong Conservatives,1750006947_684efca3868293.03626090,Democrat,Hispanic,Non-White Non-College,M,100,57,95.744680851,0.393531282
Strong Conservatives,1750005239_684ef5f73da8d9.82403464,Republican,Hispanic,Non-White College,M,86.956521739,64,100,1.170447550
Strong Conservatives,1750003856_684ef090e20817.30701753,Republican,White Non-College,White Non-College,M,77.717391304,74,94.680851064,1.786052392
Strong Conservatives,1750002464_684eeb2085a992.14504470,Republican,White Non-College,White Non-College,M,87.5,64,75.531914894,0.796270415
Strong Conservatives,1750002435_684eeb03171d37.60490719,Republican,White College,White College,F,76.086956522,67,84.042553191,0.687936847
Strong Conservatives,1750000320_684ee2c0ad0739.08327412,Republican,White Non-College,White Non-College,F,85.326086957,68,100,0.935867491
Strong Conservatives,1750000091_684ee1db404468.94226199,Republican,White College,White College,F,88.043478261,73,96.276595745,0.431850933
Strong Conservatives,1750000076_684ee1cc8ce544.65349801,Republican,White College,White College,M,77.173913043,74,79.255319149,1.736652923
Strong Conservatives,1749997605_684ed825cd9963.98387372,Democrat,Black,Non-White Non-College,F,92.391304348,57,84.042553191,0.268612571
Strong Conservatives,1749997031_684ed5e7e86698.00890888,Republican,White Non-College,White Non-College,F,100,67,88.829787234,0.850084506
Strong Conservatives,1749993644_684ec8ac4cd6f4.40103176,Republican,White College,White College,F,100,77,85.106382979,0.501325152
Strong Conservatives,1749992069_684ec28589cea6.05577704,Republican,White College,White College,M,100,73,90.425531915,0.611507492
Strong Conservatives,1749988755_684eb5931afaa6.91191935,Republican,White College,White College,F,79.891304348,69,79.255319149,0.547321960
Strong Conservatives,1749987139_684eaf43c48830.00859747,Republican,White College,White College,M,79.347826087,42,85.638297872,1.079570034
Strong Conservatives,1749987087_684eaf0f883321.62294403,Republican,White College,White College,M,79.347826087,63,77.659574468,0.875918387
Strong Conservatives,1749976925_684e875dad6be0.20224520,Republican,White College,White College,F,90.760869565,64,97.872340426,1.896332799
Strong Conservatives,1749959968_684e45209772c2.51959118,Republican,White College,White College,M,90.760869565,74,84.574468085,1.057734299
Strong Conservatives,1749957975_684e3d57ca0e96.54379575,Republican,White College,White College,M,90.217391304,72,94.148936170,2.080283508
Strong Conservatives,1749957671_684e3c274971a1.18572008,Republican,White Non-College,White Non-College,F,85.869565217,70,78.723404255,1.249811843
Strong Conservatives,1749952691_684e28b3438261.74749592,Republican,White College,White College,M,83.152173913,67,88.297872340,1.157820780
Strong Conservatives,1749950497_684e20215000d1.85615731,Republican,White Non-College,White Non-College,M,90.760869565,69,85.638297872,0.824854673
Strong Conservatives,1749948043_684e168b19bbc3.78943630,Republican,White College,White College,M,89.130434783,71,76.063829787,0.781614850
Strong Conservatives,1749947890_684e15f27a3cf8.84016717,Republican,White College,White College,M,96.739130435,78,96.276595745,0.772804740
Strong Conservatives,1749944436_684e0874159842.86538846,Republican,White College,White College,F,78.260869565,66,78.723404255,0.934252283
Strong Conservatives,1749936115_684de7f31607a1.93815106,Republican,White College,White College,M,86.956521739,86,96.276595745,0.788173469
Strong Conservatives,1749933845_684ddf15512ea5.21639316,Republican,White College,White College,M,90.217391304,69,93.617021277,0.611507492
Strong Conservatives,1749932618_684dda4a639ec9.17681178,Republican,White College,White College,M,78.804347826,51,100,1.870266613
Strong Conservatives,1749932038_684dd8061879e6.52357152,Republican,White College,White College,M,83.695652174,77,90.425531915,0.828089633
Strong Conservatives,1749930129_684dd091517624.35092545,Republican,White College,White College,M,92.391304348,41,94.680851064,0.956095666
Strong Conservatives,1749929401_684dcdb96f41f5.58672148,Republican,White College,White College,M,96.739130435,38,86.702127660,2.493348734
Strong Conservatives,1749927436_684dc60ccd1fd8.95154019,Republican,White Non-College,White Non-College,M,90.217391304,68,78.723404255,0.508413021
Strong Conservatives,1749922017_684db0e1ec6107.72102541,Republican,White Non-College,White Non-College,,77.173913043,69,79.787234043,1.296879081
Strong Conservatives,1749920975_684daccf8b5a20.13080953,Republican,White Non-College,White Non-College,M,100,64,91.489361702,1.229856557
Strong Conservatives,1749920622_684dab6e87bfd6.23539858,Republican,White Non-College,White Non-College,M,86.956521739,75,85.106382979,1.031193067
Strong Conservatives,1749920561_684dab31532924.53376347,Republican,White Non-College,White Non-College,M,87.5,70,93.085106383,0.862054517
Strong Conservatives,1749919517_684da71d5ecc53.29468364,Republican,White College,White College,F,85.869565217,49,80.851063830,3.492329658
Strong Conservatives,1749919298_684da642d705d0.80681850,Republican,White College,White College,F,87.5,61,83.510638298,3.407185219
Strong Conservatives,1749916565_684d9b957cf128.99477938,Democrat,White Non-College,White Non-College,M,76.086956522,24,78.723404255,0.290337244
Strong Conservatives,1749915219_684d9653544bf8.61929331,Republican,White Non-College,White Non-College,F,79.891304348,66,79.787234043,0.594883123
Strong Conservatives,1749913251_684d8ea3da9122.89588060,Republican,White Non-College,White Non-College,F,81.521739130,70,100,1.072230667
Strong Conservatives,1749912366_684d8b2e91bbb7.40542300,Democrat,White Non-College,White Non-College,F,80.434782609,50,77.659574468,0.688103357
Strong Conservatives,1749912247_684d8ab733e910.01208593,Republican,Hispanic,Non-White College,F,98.369565217,72,81.382978723,0.439009174
Strong Conservatives,1749912165_684d8a65710125.67568258,Republican,White College,White College,M,80.978260870,62,86.170212766,2.621104151
Strong Conservatives,1749910852_684d854480c044.68624730,Republican,White Non-College,White Non-College,M,88.043478261,79,76.063829787,0.652622489
Strong Conservatives,1749910327_684d833707f298.33645753,Republican,Native and Other,Non-White College,F,88.043478261,71,91.489361702,0.826768934
Strong Conservatives,1749909906_684d81928d1a29.55574886,Republican,White Non-College,White Non-College,M,79.891304348,33,86.702127660,0.919681503
Strong Conservatives,1749897165_684d4fcd4ea631.24140653,Republican,White Non-College,White Non-College,,89.130434783,30,77.127659574,0.680307737
Strong Conservatives,1749886126_684d24aea642e9.89900998,Republican,Black,Non-White College,M,100,26,100,0.576795004
Strong Conservatives,1749886089_684d24896c6a00.20116449,Democrat,White College,White College,M,77.173913043,32,97.872340426,0.781438610
Strong Conservatives,1749884833_684d1fa1711164.06989346,Republican,White College,White College,F,85.869565217,73,94.148936170,0.501303098
Strong Conservatives,1749882806_684d17b68bc6d9.54365092,Republican,Asian,Non-White College,M,80.978260870,29,94.148936170,6
Strong Conservatives,1749874993_684cf931dbe0c8.99594949,Republican,Hispanic,Non-White College,M,83.152173913,34,93.617021277,0.792199384
Strong Conservatives,1749872311_684ceeb7793073.37154068,Republican,White Non-College,White Non-College,M,89.130434783,67,96.808510638,0.512679173
Strong Conservatives,1749871182_684cea4ecb7aa7.33065038,Republican,White College,White College,M,95.652173913,65,84.042553191,0.676971606
Strong Conservatives,1749871087_684ce9efa6cf60.60021578,Republican,White Non-College,White Non-College,F,76.086956522,22,94.680851064,1.153744806
Strong Conservatives,1749870075_684ce5fb20b3f2.09960229,Independent,Asian,Non-White Non-College,M,76.630434783,33,82.446808511,1.312019895
Strong Conservatives,1749866889_684cd9890ddb84.92218388,Republican,Hispanic,Non-White Non-College,M,100,22,87.234042553,0.901672843
Strong Conservatives,1749863456_684ccc20f2f594.46578446,Independent,Hispanic,Non-White Non-College,M,82.608695652,30,78.723404255,0.459320437
Strong Conservatives,1749845104_684c84704e5970.88312047,Republican,White Non-College,White Non-College,M,78.804347826,77,75.531914894,0.210080605
